1160,0
1159,166627
1158,167009
1157,349780
1156,506261
1155,601431
1153,825645
1152,962458
1151,1104747
1150,1283924
1149,1314230
1148,1474311
1146,1520350
1145,1577976
1144,1600823
1143,1727820
1142,1808277
1141,1812518
1140,1870749
1139,1946671
1138,1953008
1137,2012917
1136,2034161
1134,2173805
1133,2258454
1132,2336118
1131,2363931
1130,2608085
1129,2789647
1128,2985526
1127,3160524
1126,3369404
1125,3462140
1124,3495962
1123,3496590
1122,3662415
1121,3876550
1120,3944996
1119,4045858
1118,4087183
1117,4186729
1116,4336903
1115,4432830
1114,4452211
1113,4538028
1112,4550601
1111,4721712
1110,4829713
1108,5038697
1107,5065810
1106,5070440
1105,5142397
1104,5201912
1103,5244696
1102,5326175
1101,5483755
1100,5564055
1099,5644885
1097,5774431
1096,5904851
1095,6019808
1093,6214938
1092,6421969
1091,6590754
1090,6801769
1089,6996376
1088,7015638
1087,7026548
1086,7087921
1085,7185361
1083,7348346
1082,7464735
1081,7512090
1079,7544742
1078,7564495
1077,7685902
1075,7748515
1074,7753441
1072,7794371
1071,7914394
1070,8005174
1069,8083267
1068,8134805
1067,8285696
1066,8298608
1065,8368957
1064,8534726
1063,8605540
1062,8606634
1061,8690838
1060,8862747
1059,9031265
1058,9145266
1055,9239162
1054,9269625
1053,9277845
1052,9374619
1051,9458603
1050,9600800
1049,9787943
1048,9891663
1047,10041630
1046,10195399
1045,10206320
1044,10361514
1043,10417204
1041,10427701
1039,10473938
1038,10596688
1037,10680792
1036,10693229
1035,10800923
1034,10993773
1033,11129848
1032,11134838
1031,11137067
1030,11176278
1029,11190594
1028,11350079
1027,11469246
1026,11721991
1024,11769953
1023,11890191
1022,12042867
1021,12221996
1020,12237287
1019,12322367
1018,12412834
1017,12508861
1016,12720167
1015,12724826
1014,12821921
1013,12842740
1012,12886562
1010,12954286
1009,12999274
1008,13004308
1007,13013748
1006,13114755
1005,13271477
1004,13413478
1003,13557085
1002,13694016
1001,13951497
1000,13954256
999,14117435
998,14175840
997,14207361
996,14282167
995,14356613
994,14420657
993,14562198
992,14648429
990,14727421
989,14787570
988,14857200
987,14888467
986,14895805
985,14896060
984,14972049
982,14977990
981,15031319
980,15171390
979,15224758
977,15368178
976,15462388
975,15547170
974,15693007
973,15862354
971,15880289
969,15917525
968,15918377
967,15991115
966,16141734
965,16290791
964,16458500
963,16458831
962,16524783
961,16575740
960,16695215
959,16749508
958,16904576
957,17098153
956,17193544
955,17324034
954,17488425
953,17501478
952,17713429
951,17833665
950,17978163
949,18128092
948,18129814
947,18214887
946,18241446
945,18253483
944,18337234
943,18499400
942,18515575
941,18621522
940,18639847
939,18696509
938,18702302
936,18759218
935,18855046
933,19009447
932,19015634
931,19143277
930,19212070
929,19226116
928,19228230
927,19249749
926,19475524
925,19612471
924,19648811
923,19753924
922,19851817
921,19982652
920,19990902
919,20077704
918,20134217
917,20134647
915,20188921
914,20311581
912,20393913
911,20535093
910,20662420
909,20662434
907,20691203
906,20810183
905,20971604
904,21135619
903,21271427
902,21407493
901,21488602
900,21531365
899,21602361
897,21750980
896,21894605
895,21925543
894,22001739
893,22122753
892,22199960
891,22267431
890,22339185
888,22418832
887,22519485
885,22527330
884,22715633
882,22765844
881,22767571
880,22915808
879,22928920
877,23060243
876,23079543
875,23083671
874,23098471
873,23144042
872,23217300
871,23366992
870,23607995
869,23608066
868,23625972
867,23679796
866,23719768
865,23734473
864,23737709
863,23796322
862,23864542
861,23879875
860,23979170
859,24095112
858,24202745
857,24307173
856,24342827
855,24382458
854,24442685
853,24535367
852,24613633
851,24647836
849,24713551
848,24743727
847,24878468
846,24878483
845,24878497
843,24968394
842,25090040
840,25327811
839,25372617
838,25417863
836,25434662
835,25630765
834,25735772
833,25814483
832,26044585
831,26118151
830,26118301
829,26130780
828,26316885
827,26484919
826,26522058
825,26586045
824,26640911
823,26676686
822,26823866
821,26949717
820,27039123
819,27040168
818,27288641
817,27402100
816,27566688
815,27611916
814,27834268
813,28025058
812,28206261
811,28233901
810,28384526
809,28385310
808,28389762
807,28509473
